rating,speaker,audio_id,set,vk,target,lang_source
1,CEB-11-2611,ceb_audio_01,set1,ik,click,ceb
1,CEB-11-2611,ceb_audio_02,set1,ak,click,ceb
1,CEB-11-2611,ceb_audio_03,set1,uk,click,ceb
4,CEB-11-2611,ceb_audio_04,set1,uk,click,ceb
4,CEB-11-2611,ceb_audio_05,set1,ak,click,ceb
9,CEB-11-2611,ceb_audio_06,set1,ik,click,ceb
5,CEB-11-2611,ceb_audio_07,set1,uk,click,ceb
2,CEB-11-2611,ceb_audio_08,set1,ik,click,ceb
2,CEB-11-2611,ceb_audio_09,set2,ak,click,ceb
2,CEB-11-2611,ceb_audio_10,set2,ik,click,ceb
3,CEB-11-2611,ceb_audio_11,set2,uk,click,ceb
2,CEB-11-2611,ceb_audio_12,set2,uk,click,ceb
2,CEB-11-2611,ceb_audio_13,set2,ak,click,ceb
3,CEB-11-2611,ceb_audio_14,set2,ik,click,ceb
4,CEB-11-2611,ceb_audio_15,set2,uk,click,ceb
8,CEB-11-2611,ceb_audio_16,set2,ik,click,ceb
1,CEB-11-2611,spn_audio_06,set3,ak,click,spn
1,CEB-11-2611,spn_audio_07,set3,ek,click,spn
1,CEB-11-2611,spn_audio_08,set3,ik,click,spn
2,CEB-11-2611,spn_audio_09,set3,ok,click,spn
2,CEB-11-2611,spn_audio_10,set3,uk,click,spn
2,CEB-11-2611,spn_audio_11a,set3,ak,click,spn
2,CEB-11-2611,spn_audio_15a,set3,uk,click,spn
1,CEB-11-2611,spn_audio_11,set4,ak,click,spn
1,CEB-11-2611,spn_audio_12,set4,ek,click,spn
4,CEB-11-2611,spn_audio_13,set4,ik,click,spn
1,CEB-11-2611,spn_audio_14,set4,ok,click,spn
2,CEB-11-2611,spn_audio_15,set4,uk,click,spn
5,CEB-11-2611,spn_audio_11a,set4,ak,click,spn
2,CEB-11-2611,spn_audio_06a,set4,uk,click,spn
1,CEB-24-2910,ceb_audio_01,set1,ik,click,ceb
1,CEB-24-2910,ceb_audio_02,set1,ak,click,ceb
2,CEB-24-2910,ceb_audio_03,set1,uk,click,ceb
5,CEB-24-2910,ceb_audio_04,set1,uk,click,ceb
3,CEB-24-2910,ceb_audio_05,set1,ak,click,ceb
5,CEB-24-2910,ceb_audio_06,set1,ik,click,ceb
4,CEB-24-2910,ceb_audio_07,set1,uk,click,ceb
2,CEB-24-2910,ceb_audio_08,set1,ik,click,ceb
3,CEB-24-2910,ceb_audio_09,set2,ak,click,ceb
3,CEB-24-2910,ceb_audio_10,set2,ik,click,ceb
3,CEB-24-2910,ceb_audio_11,set2,uk,click,ceb
7,CEB-24-2910,ceb_audio_12,set2,uk,click,ceb
6,CEB-24-2910,ceb_audio_13,set2,ak,click,ceb
6,CEB-24-2910,ceb_audio_14,set2,ik,click,ceb
3,CEB-24-2910,ceb_audio_15,set2,uk,click,ceb
8,CEB-24-2910,ceb_audio_16,set2,ik,click,ceb
2,CEB-24-2910,spn_audio_06,set3,ak,click,spn
3,CEB-24-2910,spn_audio_07,set3,ek,click,spn
2,CEB-24-2910,spn_audio_08,set3,ik,click,spn
4,CEB-24-2910,spn_audio_09,set3,ok,click,spn
2,CEB-24-2910,spn_audio_10,set3,uk,click,spn
3,CEB-24-2910,spn_audio_11a,set3,ak,click,spn
3,CEB-24-2910,spn_audio_15a,set3,uk,click,spn
5,CEB-24-2910,spn_audio_11,set4,ak,click,spn
3,CEB-24-2910,spn_audio_12,set4,ek,click,spn
3,CEB-24-2910,spn_audio_13,set4,ik,click,spn
2,CEB-24-2910,spn_audio_14,set4,ok,click,spn
3,CEB-24-2910,spn_audio_15,set4,uk,click,spn
2,CEB-24-2910,spn_audio_11a,set4,ak,click,spn
4,CEB-24-2910,spn_audio_06a,set4,uk,click,spn
1,CEB-12-3485,ceb_audio_01,set1,ik,click,ceb
1,CEB-12-3485,ceb_audio_02,set1,ak,click,ceb
1,CEB-12-3485,ceb_audio_03,set1,uk,click,ceb
1,CEB-12-3485,ceb_audio_04,set1,uk,click,ceb
1,CEB-12-3485,ceb_audio_05,set1,ak,click,ceb
1,CEB-12-3485,ceb_audio_06,set1,ik,click,ceb
2,CEB-12-3485,ceb_audio_07,set1,uk,click,ceb
1,CEB-12-3485,ceb_audio_08,set1,ik,click,ceb
1,CEB-12-3485,ceb_audio_09,set2,ak,click,ceb
1,CEB-12-3485,ceb_audio_10,set2,ik,click,ceb
2,CEB-12-3485,ceb_audio_11,set2,uk,click,ceb
2,CEB-12-3485,ceb_audio_12,set2,uk,click,ceb
2,CEB-12-3485,ceb_audio_13,set2,ak,click,ceb
1,CEB-12-3485,ceb_audio_14,set2,ik,click,ceb
3,CEB-12-3485,ceb_audio_15,set2,uk,click,ceb
1,CEB-12-3485,ceb_audio_16,set2,ik,click,ceb
1,CEB-12-3485,spn_audio_06,set3,ak,click,spn
1,CEB-12-3485,spn_audio_07,set3,ek,click,spn
1,CEB-12-3485,spn_audio_08,set3,ik,click,spn
1,CEB-12-3485,spn_audio_09,set3,ok,click,spn
1,CEB-12-3485,spn_audio_10,set3,uk,click,spn
